datetime,totalFare,avgFare,totalTip,avgTip
2013-10-23,6205741.52,12.527057674101258,754483.6199999821,1.5230186096929916
2013-07-28,5256879.58,12.659888835104603,534119.9899999842,1.286295338347275
2013-08-28,5545351.609999999,12.46911388334866,624933.719999992,1.4052075093259282
2013-11-01,7158961.48,12.881737991344952,800554.9899999658,1.4405077688507604
2013-03-05,5819754.97,11.785294027115418,671968.3199999755,1.3607693569453652
2013-12-08,6164358.84,12.627225285755253,686805.4899999746,1.4068693719529162
2013-10-30,6014881.630000001,12.486053602863029,725482.999999996,1.5060013119436613
2013-03-22,6661639.23,12.150799238299527,742587.4599999668,1.3544761029243513
2013-06-01,6373761.390000001,11.942905360080648,635832.7999999746,1.1913986876177651
2013-09-04,1.124791036E7,12.388030344748591,1266908.6599999894,1.3953261025192456
2013-08-02,2933231.6100000003,12.389678518931523,328888.47999998333,1.3891922212647343
2013-07-11,6222673.92,12.570474341596249,723203.2399999922,1.4609487639968086
2013-12-05,6454161.63,12.954441070209947,787081.4999999772,1.579787041869008
2013-02-25,5359929.07,11.859430850416524,613205.6999999853,1.3567848568994376
2013-10-08,5758168.919999998,12.523639187096546,683948.2899999887,1.4875426069632451
2013-06-05,6356750.710000001,12.776746314255567,730518.59999996,1.4683053112908095
2013-01-17,6093594.719999999,11.889175370171284,711986.8899999816,1.3891532642775815
2013-06-07,6683183.2,12.560202371018546,749437.2999999672,1.408473158776992
2013-08-31,5331341.41,12.268648970199056,492408.92999999505,1.1331467725232887
2013-11-21,6378952.869999999,12.810582856706777,789736.8399999959,1.5859952926433412
2013-05-29,5972318.089999998,12.444584935186166,670220.8699999892,1.396546603238481
2013-06-26,6187998.0200000005,12.688332021029668,715568.1799999785,1.4672542916430422
2013-03-14,6911573.990000001,12.50601452972895,794406.1599999815,1.4374229363441926
2013-05-30,6469263.16,12.677148864707462,734342.3399999692,1.4390150673414916
2013-03-18,5506186.0600000005,12.020613061113998,627314.1599999756,1.3694961817395366
2013-09-05,1.1354629040000001E7,12.146846359571237,1293614.9799999895,1.383871049872686
2013-02-28,6340274.750000001,12.079244698889292,747869.4999999884,1.4248118653431925
2013-01-04,5391994.590000001,11.270020065337757,538485.6799999916,1.1255101089589465
2013-01-18,6448413.589999999,11.859500399092202,713458.9199999925,1.31214696892229
2013-01-14,5169601.24,11.652431511326496,587180.2399999932,1.3235213343851984
2013-08-18,5132636.57,13.12946618916672,521719.1699999866,1.334576120739238
2013-01-28,5227490.07,11.596312398927214,602141.8899999803,1.3357510720092556
2013-07-12,6251985.75,12.320980300575847,694332.0099999877,1.36834141332921
2013-04-20,6712895.44,11.757846317142763,680658.0199999968,1.1921938104387704
2013-10-21,5513012.580000001,12.657239566353358,642525.7499999913,1.4751648444997296
2013-07-06,4185665.11,11.783369958729569,369315.0799999902,1.0396857141248197
2013-10-10,6553148.23,12.913726963519991,784998.9799999915,1.5469301377853282
2013-02-08,4701680.84,10.867345224584703,531691.2399999924,1.2289375767087238
2013-11-28,4059802.3400000003,12.24270178824523,384439.01999999705,1.1593106962998614
